question,ranked_chunks
What are the criteria for selecting Trade Union representatives to the Tea Small Holdings Development Authority in Sri Lanka?,"[b'# Establishment of the Tea Small Holdings Development Authority.\n\n2. There shall be established an Authority which shall be called the Tea Small Holdings Development Authority (in this Law referred to as the \xe2\x80\x9cAuthority\xe2\x80\x9d).', b'# Tea Small Holdings Development (Amendment)', b'# SCHEDULE\n\nHon. Kanchana Wijesekera, State Minister of Tea Industry Development\n\n|Column I|Column II|Column III|\n|---|---|---|\n|1. Providing necessary incentives and other facilities to increase yield of tea plantation by providing high quality tea plants.|1. Sri Lanka Tea Board|1. Sri Lanka Tea Board Law (No.14 of 1975)|\n| |2. Tea Research Institute|2. Tea Control Act (No.51 of 1957)|\n|2. Enhance the international competitiveness for productivity in the tea industry.|3. Tea Small Holdings Development Authority|3. Tea Shakthi Fund Act (No.47 of 2000)|\n| | |4. Tea Small Holdings Development Act (No.35 of 1975)|\n\nThis Gazette Extraordinary can be downloaded from www.documents.gov.lk', b""# 32. Trade Union Action.\n\nThe Union and the Employees jointly and severally agree with the Employer that during the continuance in force of this Agreement they shall not engage in any strike or other form of trade union action against the Employer, in respect of any dispute between the Union or the Employees and the Employer, whether or not such dispute is related to the Agreement, except where such dispute has been caused by an act of the Employer which in the opinion of the controlling body (by whatsoever name called) of the Union is mala fide or vindictive or calculated to threaten or undermine the existence or the legitimate activities of the Union and/or its members or is grossly unfair or seriously detrimental to the interest of the Union and/or its members. Provided however that at least seven (7) days' notice in writing shall be given by the Union to the Employer, the Federation and the Commissioner General of Labour before the date of commencement of any intended strike or other form of trade union action consequent upon an act of the Employer which in the opinion of the controlling body (by whatsoever name called) of the Union is mala fide or vindictive or calculated to threaten or undermine the existence or the legitimate activities of the Union and/or its members is grossly unfair or seriously detrimental to the interest of the Union and/or its members."", b'# Constitution of the Board of Management of the fund.\n\n3.\n\n(1) The administration, management and control of the Fund shall be vested in a Board of Management, (hereinafter referred to as the \xe2\x80\x9cBoard\xe2\x80\x9d), constituted as hereinafter provided.\n\n(2) The Board shall consist of the following members appointed by the Minister:\n\n- (i) the Chairman of the Tea Small Holdings Authority (hereinafter referred to as the \xe2\x80\x9cAuthority\xe2\x80\x9d) established by the Tea Small Holdings Development Law, No. 35 of 1975;\n- (ii) the General Manager of the Authority;\n- (iii) the Deputy General Manager (Finance) of the Authority;\n- (iv) a representative of the Ministry of the Minister in charge of the subject of Finance nominated by that Minister;\n- (v) a representative of the Ministry of the Minister in charge of the subject of Plantation Industry nominated by that Minister;\n- (vi) The President of every Regional Registered Society namely, Kalutara, Galle, Matara, Ratnapura, Kegalle, Kandy, Nuwara Eliya and Uva;\n- (vii) The President of the Sri Lanka Federation of Tea Small Holdings Development Societies who shall be a member of the Board notwithstanding the fact that he is also the President of a Regional Registered society.\n\n(3) The Minister may, for reasons assigned, remove from office any member of the Board.']"
What are the main areas covered by the tea controlling act ? 2005,"[b'# Immature Tea\n\nThe main stems and main branches of immature tea are susceptible to SHB. Protection of the main stem and main branches which give rise frame of the tea bush is vital.', b'# AN ACT TO AMEND THE TEA CONTROL ACT.', b'# Regulations by the Minister\n\n(1) The Minister may make regulations for the purpose of giving effect to the principles and provisions of this Act.\n\n(2) Without prejudice to the generality of the powers conferred by subsection (1), the Minister may make regulations in respect of the following matters:\n\n- (a) matters stated or required by this Act to be prescribed;\n- (b) the procedure to be observed in the hearing of appeals made to the Minister under this Act.\n\n(3) No regulation made by the Minister shall have effect until it is approved by the Senate and the House of Representatives and notification of such approval is published in the Gazette.', b'# Objects and powers of the Board.\n\n4.\n\n(1) The objects of the Board shall be the promotion, by such measures as it thinks fit, of the development of the tea industry in Ceylon.\n\n(2) The Board shall be the authority responsible for regulating the activities of the tea industry in Ceylon, and without prejudice to the generality of the provisions of sub-section (1) and the other provisions of this Act, may take measures\n\n(a) to regulate the production and cultivation of tea in Ceylon including the planting of new areas in tea, the replanting of existing estates and small holdings with high yielding material, the rehabilitation of estates and small holdings, the diversification of estates and small holdings by the establishment and operation of dairy industries, and the replacement of tea on such estates and small holdings by other crops;', b'# 35.\n\n(1) The Tea Subsidy Act, No. 12 of 1958, is hereby repealed.\n\n(2) Notwithstanding the repeal of the Tea Subsidy Act, No. 12 of 1958, every such regulation made under that Act as is in force on the day immediately preceding the date of such repeal shall, in so far as it is not inconsistent with the provisions of this Act, be deemed to be a regulation made by the Board under this Act subject to the modification that any reference in any such regulation to the \xe2\x80\x9d Tea Controller \xe2\x80\x9d or the \xe2\x80\x98c Controller \xe2\x80\x9d shall be read and construed as a reference to the \xe2\x80\x9d Tea Commissioner \xe2\x80\x9c.']"
What are the key changes introduced by the Tea Research (Amendment) Law No. 33 of 1974?,"[b'# Short title\n\n1. This Law may be cited as the Tea Research (Amendment) Law No. 33 of 1974.', b'# Tea Research Board (Amendment)', b'# Amendment of section 6 of Act No. 45 of 1979.\n\n2. Section 6 of the National Institute of Plantation Management Act, No. 45 of 1979, (hereinafter referred to as the \xe2\x80\x9d principal enactment\xe2\x80\x9d) is hereby amended in sub section (1) of that section, by the substitution, for paragraph (b) of that subsection, of the following paragraph:\n\n\xe2\x80\x9d (b) the following ex officio members namely\n\n- (i) the Chairman of the Sri Lanka Tea Board;\n- (ii) the Director of the Rubber Research Institute;\n- (iii) the Director of the Coconut Research Board;\n- (iv) the Chairman of the Tea Small Holdings Development Authority;\n- (v) the Director of the Tea Research Institute;\n- (vi) the Director of the Institute; and\n- (vii) a representative from any of the Universities nominated by the University Grants Commission;\xe2\x80\x9d.', b'# Sri Lanka Tea Board (Amendment)', b'# Sri Lanka Tea Board (Amendment)']"
What are the penalties for committing an offense under the Sri Lanka Tea Board Law?,"[b'# SRI LANKA TEA BOARD', b'# SRI LANKA TEA BOARD', b'# Sri Lanka Tea Board', b'# Sri LANKA TEA BOARD', b'# Sri Lanka Tea Board']"
What are the most successful Tea clone for the Low grown tea gardens?,"[b'# 2. Live-wood Termite Species Attacking Low Grown Tea\n\nThe most prevalent species of live-wood termites attacking tea in the low country are Glyptotermes dilatatus and Neotermes greeni. The former is commonly referred to as the ""Low-country Live-wood Termite"" (LCLWT) and is the most widely distributed of the two species. It attacks tea from sea level to an elevation of about 1,000 m a.m.sl. N. greeni is usually encountered in the upper elevations of the low country and also occasionally in the mid-country.', b'# 31.\n\nIn this Law, unless the context otherwise requires-\n\n\xe2\x80\x9cCapital Fund means the Capital Fund established under this Law;\n\n\xe2\x80\x9cCeylon Tea Propaganda Board\xe2\x80\x9d means the Ceylon Tea Propaganda Board established under the Tea Propaganda Ordinance, and includes the Tea Propaganda Board of Ceylon, being the name under which such Board was incorporated under that Ordinance;\n\n\xe2\x80\x9d Commissioner of Tea Exports\xe2\x80\x9d means the person holding the office of the Commissioner of Tea Exports;\n\n\xe2\x80\x9d company \xe2\x80\x98 means any company established and incorporated under the provisions of any law for the time being in force in any country;\n\n\xe2\x80\x9d estate\xe2\x80\x9d means an area of land, ten acres or more in extent, on which tea plants are grown for the purpose of harvesting the leaf thereof for conversion into made tea;\n\n\xe2\x80\x9d green tea leaf\xe2\x80\x9d includes the leaf, leaf buds and immature stalks of the tea plant before they are subjected to any of the processes (excluding that known as withering) for conversion into made tea;\n\n\xe2\x80\x9d local authority\xe2\x80\x9d means any Municipal Council, Urban Council, Town Council or Village Council;\n\n\xe2\x80\x9d made tea\xe2\x80\x9d means tea manufactured from the leaves, leaf buds and immature stalks of the tea plant and includes \xe2\x80\x9d black tea \xe2\x80\x9c, \xe2\x80\x9d green tea \xe2\x80\x9c, \xe2\x80\x9d instant tea \xe2\x80\x9c, \xe2\x80\x9d carbonated tea \xe2\x80\x9d or tea to which foreign essences have been added;\n\n\xe2\x80\x9d management \xe2\x80\x9c with its grammatical variations and cognate expressions includes cultivation, replantations, fertilization, soil conservation, manufacture, processing, sale and disposal of produce;\n\n\xe2\x80\x9d manufacturer\xe2\x80\x9d means any person who, being lawfully in possession of a tea factory, manufactures made tea at that factory;\n\n\xe2\x80\x9d Principal Collector\xe2\x80\x9d means the person appointed to be or to act as the Principal Collector of Customs;\n\n\xe2\x80\x9d rehabilitation \xe2\x80\x9c when used with reference to any tea estate or tea small holding, means any operation designed to improve the agricultural conditions of such estate or small holding, and includes the application of fertilizers, the adoption of soil conservation measures and the planting of additional tea plants and any other suitable plants in such estate or small holding.\n\n\xe2\x80\x9creplanting \xe2\x80\x9c, when used with reference to any tea estate or tea small holding, means the uprooting of all existing tea plants and other vegetation in the whole or any part of such estate or small holding and their replacement by new tea plants, and includes the planting of tea plants in an area which does not form\npart of such estate or small holding if the tea plants in an equivalent area of such estate or small holding are eradicated within such time as the Board may specify;\n\n\xe2\x80\x9d small holding \xe2\x80\x9d means an area of land less than ten acres in extent on which tea plants are grown for the purpose of harvesting the leaf thereof for conversion into made tea;\n\n\xe2\x80\x9d State Corporation \xe2\x80\x9d means a Corporation established or maintained with funds wholly or partly provided by the Government;\n\n\xe2\x80\x9d tea when used with reference to planting, means tea plants, and when used in any other context means made tea;\n\n\xe2\x80\x9d Tea Commissioner \xe2\x80\x9d means the person appointed to be or to act as Tea Commissioner for the purposes of this Law;\n\n\xe2\x80\x9d Tea Control Fund \xe2\x80\x9d means the Tea Control Fund established under the Tea Control Act, No. 51 of 1957, as amended by this Law;\n\n\xe2\x80\x9d tea factory \xe2\x80\x9d means any premises equipped with machinery for the conversion of green tea leaf into made tea;\n\n\xe2\x80\x9d Tea Research Board \xe2\x80\x9d means the Board of the Tea Research Institute of Ceylon established under the Tea Research Ordinance; and\n\n\xe2\x80\x9d Tea Subsidy Fund \xe2\x80\x9d means the Tea Subsidy Fund established under the Tea Subsidy Act No. 12 of 1958.', b'# 6.2 Size of Plants for Infilling\n\nRaise plants in large polythene bags 15 cm (lay flat) x 30 cm. Use well grown healthy plants and not what is left over in the nursery after planting the clearings: The planting of cuttings should be advanced to have plants ready in the planting season. Use around 15 month-old plants in the Up-country, 12-month old plants in the Mid-country and 9-month old plants at low elevations. The planting of the cuttings should be accordingly advanced to have the plants ready in the planting season.', b'# TO: ALL REGISTERED EXPORTERS OF TEA\n\nSirs,\n\nAT THE TEA EXPORT SECTION OF THE SRILANKA TEA BOARD PROCEDURES RELATED TO EXPORT OF TEA 16 of 1959 & are required to adhere to the following procedures; which have been extracted from the All exporters of tea who are registered under the Tea (Tax & Control of Exports) Act.', b'# Cut-across (Centering)\n\nPlants are allowed to be well established in the field and grow as healthy plants with strong leader and lateral branches for a period of 9-12 months, branching habit of the clone, leaving as many side branches as possible. The main stem is cut at a height of 20-25 cm from ground level, depending on the branching habit of the clone. After a lapse of about 4-6 months, a second cut is given at a height of 35-40 cm across all branches. Once the plant is adequately regenerated, shoots are tipped at a height of 45-50 cm and the mini bush is brought into light plucking. A sharp knife or a secateur can be used for these operations. While centering is done, peripheral branches or horizontally growing side shoots should not be removed so that an early ground cover is established. Dry periods should be avoided for centering to minimize environmental stress on bud break and subsequent growth of shoots.']"
What are the basic requirements needed to be fulfilled to be a Tea Exporter?,"[b'# Type of Analysis\n\n|Charges per sample (Rs)| |\n|---|---|\n|Contaminant/Adulteration Analysis|12,000.00|\n|Physical Examination| |\n|Determination of Basic Radiation|2,000.00|\n|Sieve Analysis/Tea Dust Analysis|2,000.00|\n|Microscopical Examination (each under a to e)|2,000.00|\n|Dead insects and fragments| |\n|Alive insects and fragments| |\n|Foreign matter| |\n|Visible mould growth| |\n|Particle appearance| |\n|Certification on Genetically Modified Organisms (GMO)|1,500.00|\n|(Only for Sri Lankan origin teas)| |\n|Issuing of fresh certificate over a cancelled report|350.00|\n\nNOTE: In addition to this any applicable taxes and duties enforced by the government are also to be added to the testing fee.\n\nIn order to carry out those tests you are required to forward:\n\n1. Quantity of the tea sample should not be less than 100g (Net Weight) for Microbiological Pesticide residual testing and 250g (Net Weight) for chemical testing in a sealed container with consumer pack bearing all identification mark/s and number/s.\n2. In case of microbiological analysis of tea, it is compulsory to use sterilized utensils for sampling from the teas stored.\n3. Duly completed application form annexed hereto (Form ALIT).\n4. Letter of request describing the test requirements with documentary evidence in support of the request for each certificate, if it is shipment its necessary to submit CUSDEC and/or other related document.\n5. Payments for test/s either by cheque drawn in favour of the ""Sri Lanka Tea Board"" or by cash with the laboratory invoice as per your request; forwarded to the Finance Division of Sri Lanka Tea Board and the testing will be commenced only after the submission of AR-Receipt to the Analytical Laboratory.\n6. Prior to make the payment it is necessary to obtain authorization from the Director (Analytical Services).\n\nIf any further clarification on the above, please contact the Director (Analytical Services) on telephone/fax 9411-2581576/94112587814 (Ext.1331) and e-mail: lab@pureceylontea.com\n\nYours truly,\n\nS.A. Siniwardena\nSgd/Niraj De Mel\nDirector General\nChairman\n\nCopy to:\n\n1. Chairman, Tea Exporters Association\n2. Chairman, Colombo Tea Traders\' Association\n3. Tea Commissioner; Tea Commissioner\'s Division\n4. Director (Analytical Services)\n5. Director (Promotion)\n6. Director (Finance)\n7. Deputy Tea Commissioner, Tea Export\'s Section\n\nPage 2 of 2', b'# 2.1 Uprooting Procedure\n\nAll diseased and unproductive bushes should be uprooted manually or preferably with the aid of mechanical winches, if available. A single tea plant should not anyway be left in the area which may serve as a source of nematodes. The operation should be done from top to bottom in order to avoid subsequent nematode contaminations. If nematode infested tea bushes of a patch of land or section are to be removed, tea plants in the concentric circle should also be uprooted in order to ensure complete removal of nematode sources.\nFollowing uprooting, the area should be forked thoroughly to a depth of about 45 cm (18 inches) and all tea roots, above the thickness of a pencil to be removed. Uprooted tea bushes should not be taken away and transported from place to place to avoid dissemination of nematode infestation. The roots removed from the ground should be collected and burnt in situ. Soils should not anyway be collected for nursery purpose (Please refer the Advisory Circular PN 2 for sources of nursery soils).', b'# 8\n\nThe Commissioner shall communicate or cause to be communicated in writing to the person concerned the decision of the Commissioner to refuse registration as an exporter of tea or to cancel such registration.', b'# Guidelines to New Applicants [Registered Exporters]\n\nThe Sri Lanka Tea Board has set criteria for registration as an exporter of tea in terms of the Tax and renewal of registration. The minimum requirements for registration as exporters of tea are stated below:', b'# (h) to secure or to facilitate the securing of supplies of machinery, equipment and other commodities needed for the development of the tea industry in Sri Lanka;']"
How are tea factory owners held accountable for paying fair prices for green tea leaves?,"[b'# reGuLAtIONs\n\n1. these regulations may be cited as tea Control (Quality standard of Green tea Leaf) regulations No. 02 of 2021.\n2. these regulations shall apply to all registered manufacturers of tea and licensed dealers of green tea leaf as raw material to tea factories.\n3. every such manufacture who operates a tea factory for the production of made tea shall -\n1. ensure the procurement of a minimum of sixty per centum (60%) of green tea leaf in conformity with the quality standard determined by the Commissioner for use in the manufacture of tea; and\n2. ensure that the green tea leaf so procured for manufacture shall not be damaged due to post harvest operations of suppliers of such green tea leaf.\n4. every such licensed dealers of green tea leaf shall -\n1. endeavor to supply a minimum of sixty per centum (60%) of green tea leaf in conformity with the quality standard determined by the Commissioner, to be used for the manufacture of tea; and\n2. take measures to ensure the handling and transportation of green tea leaf to the factory is done without damages to the green tea leaf.\n5. every such manufacturer shall make arrangements to procure a minimum of sixty per centum (60%) quality standard green tea leaf through licensed dealers and shall initiate a proper mechanism to ensure continuous supply of undamaged green tea leaf.\n6. every such manufacturer who operates a tea factory for the production of made tea and every licensed dealer who supplies green tea leaf to such factory shall utilize containers approved by the Commissioner for transportation of green tea leaf from farm gate to tea factory.\n7. All tea factories, which are owned and managed by registered manufactures of tea and licensed dealers of green tea leaf shall comply with such directions as may be issued by the Commissioner from time to time shall also maintain such records as are required by the Commissioner.\n8. Any person aggrieved by any decision of the Commissioner under these regulations may within twenty-eight days of the communication of such decision, appeal in writing to the minister to whom the subject of Plantation is assigned.\n9. In these regulations \xe2\x80\x9cCommissioner\xe2\x80\x9d, \xe2\x80\x9cgreen tea leaf\xe2\x80\x9d, \xe2\x80\x9cmade tea\xe2\x80\x9d, \xe2\x80\x9cmanufacturer\xe2\x80\x9d, \xe2\x80\x9cproprietor\xe2\x80\x9d, \xe2\x80\x9ctea factory\xe2\x80\x9d and \xe2\x80\x9clicensed dealer\xe2\x80\x9d shall have the same meaning assigned to them by the tea Control Act, No. 51 of 1957.\n\neOG 12 - 0135/4\n\nPRINTED AT THE DEPARTMENT OF GOVERNMENT PRINTING, SRI LANKA.', b'# To All Registered Warehouse Owners of Tea', b'# Copies to:\n\n1. S/p.I Chairman\n2. Chairman, TSH DA\n3. Chairman, Colombo Tea Traders Association\n4. Chairman, Colombo Brokers Association\n5. President, Private Tea Factory Owners Association\n6. Secretary General, The Planters Association of Ceylon\n7. Chairman, Private Estate Owners Association\n8. Tea Commissioner\n9. Director, Tea Promotion Bureau\n10. Deputy Tea Commissioner (Exports)', b'# Replacement of the long title of Act No. 51 of 1957.\n\n2. The long title of the Tea Control Act, No. 51 of 1957 (hereinafter referred to as the \xe2\x80\x9d principal enactment \xe2\x80\x9c) is hereby repealed and the following new long title substituted therefor:-\n\n\xe2\x80\x9d An Act to provide for the registration of tea plantations and the proprietors thereof; for the registration of tea manufacturers and of the factories operated by them; for the development and maintenance of tea plantations and tea factories and consequences for non-compliance with orders issued by the Controller; for the control of the planting and replanting of tea, the possession, sale and purchase of tea, and the exportation of tea, tea seed and such parts of the tea plant as are capable of being used for propagation; for the imposition of an export duty on tea; for the establishment of a tea advisory board; and for matters connected therewith or incidental thereto.\xe2\x80\x9d.', b'# Payment of Reasonable Price for Green Leaf Purchased by Tea Factories\n\nYour kind attention is drawn to my circular letter No TCMR/Z of 29th July 2009 under the same subject. The Sri Lanka Tea Board had its meeting held on 01st November 2010 and has decided to use monthly elevational average based on their registered processing methods for computation and payment of reasonable price for green tea leaf in the following manner:\n\n- Tea Factories manufactured only orthodox tea should use monthly elevational sales average for orthodox tea.\n- Tea Factories manufactured only CTC tea should use monthly elevational sales average for CTC tea.\n- Tea Factories manufactured as dual CTC and Orthodox manufacturers should use combined elevational sales average for Orthodox and CTC.\n- Tea Factories engaged in manufacture of Green tea and Organic tea should use Orthodox elevational sales average.\n\nNonecompliances of the above directives shall be an offence under the Section 82 of the Tea Control Act No. 51 of 1957 as amended and will be liable to appropriate legal action against the offended registered manufacturers of tea.\n\nPlease acknowledge the receipt of this circular letter.\n\nYours truly,\n\nT{8 Jayantha Edirisinghe\n\nActing Tea Commissioner']"
What are the eligibility criteria for being appointed as a member of the Sri Lanka Tea Board?,"[b'# SRI LANKA TEA BOARD', b'# Sri Lanka Tea Board', b'# SRI LANKA TEA BOARD', b'# SRI LANKA TEA BOARD', b'# Sri Lanka Tea Board']"
What are the current guidelines for determining the reasonable price for green leaf in the tea industry?,"[b'# Examples of Calculation of the Reasonable Price\n\nAccording to the revised outturn percentage are shown overleaf.\n\nThe revised outturn percentage will take effect for the payment of green leaf purchased by tea factories on and after 1st September 1985.\n\nPlease acknowledge receipt of this circular.\n\nYour faithfully,\n\nSet. 6.4. re Silvan\n\nTEA COMMISSIONER.', b'# AN ACT TO PROVIDE FOR THE ESTABLISHMENT OF A FUND FOR THE PURPOSE OF SUBSIDIZING THE REPLANTING AND REHABILITATION OF TEA ESTATES AND TEA SMALL HOLDINGS, THE REPLANTING OF RUBBER ESTATES AND RUBBER SMALL HOLDINGS WITH TEA, THE MARKETING OF GREEN TEA LEAF OF TEA ESTATES AND TEA SMALL HOLDINGS AND THE MANUFACTURE OF MADE TEA FROM SUCH GREEN TEA LEAF; AND FOR THE IMPOSITION OF AN EXPORT DUTY ON TEA TO BE PAID INTO SUCH FUND.', b'# Circular Letter to M [pL.74\n\nSri Lanka Tea Board\n\nTea Commissioner & Division\n\nP.O. Box\n\nCOLOMBO 01 - 363,\n\n10th April 1987\n\nDear Sir/Madam,\n\nPayment of Reasonable Price for Green Leaf purchased by Tea Factories\n\n17th June; Your kind attention is drawn to circular letters No. M [BL.64 of 1935 and W/BL.66 of 2nd 1985 regarding the calculation of the reasonable price payable for green tea leaf that the formula for sharing the sales proceeds between the factory owners and green leaf suppliers be revised as follows;\n\n1. 32% to the factory owners as manufacturing charges\n2. 68% to the green leaf suppliers\n\nThe above revision has been made to take effect from 1st April, 1987 in view of the steep increase in the monthly net elevational average applicable to the calculation of the incentive when the net sale average is more than the price of green leaf to made tea will remain unchanged. The rates of conversion formula examples on calculation of the reasonable price according to the revised are shown overleaf.\n\nTea Factories on and after 1st April, 1987. The formula will take effect for the payment of green leaf purchased by.\n\nPlease acknowledge receipt of this Circular letter.\n\nYour faithfully,\n\nSgd. R.L. WEERASEKERA\n\nActg. TEA COMMISSIONER.\n\nCopy to:\n\n1. s/p.I.\n2. Director General, S.L.TB\n3. Chief Internal Auditor, S.L.TB.\n4. General Manager TSHDA JEDB /SLSPc /LRC\n5. All Assistant Tea Commissioners\n6. All Field Officers.', b'# Amendment of section 8 of A No. 81 of 1957.\n\n2. Section 8 of the Tea Control Act, No. 15 of 1957 (here in after referred to as the ""principal enactment"") is hereby amended, by the repeal of subsection (2) of that section and substitution, therefor of the following subsection:\n\n\xe2\x80\x9d (2) Where the Controller is satisfied, after such inquiry as he may deem necessary:\n\n- (a) that the building, or equipment, or manner of operation, of any tea factory is not of standard conducive to the manufacture of made tea of good quality; or\n- (b) that the owner of a tea factory has paid for green tea leaf bought by him for manufacture at such factory a price lower than the reasonable price payable as determined by the Controller having regard to the price fetched for made tea manufactured at that factory; or\n- (c) that the owner of a tea factory has delayed payment of the reasonable price, referred to in paragraph (b) for green tea leaf bought by him for manufacture at that factory,\n\nthe Controller may suspend or cancel where necessary, the registration of such tea factory or\n\n- (i) in any case referred to in paragraph (b), direct any broker to whom the owner of such tea factory has sold any made tea manufactured at that factory, to deduct from the proceeds of such sale, an amount equivalent to the difference between the reasonable price for green tea leaf as determined by the Controller and the actual price paid by such owner for the green tea leaf bought by him;\n- (ii) in any case referred in paragraph (c), direct any broker to whom the owner of such tea factory has sold any made tea manufactured at that factory, to\ndeduct from the proceeds of such sale, an amount equivalent to the reasonable price determined by the Controller for such green tea leaf,\n\nand to remit the sum so deducted to him, for payment by him, to the person supplying such green leaf to such factory.\xe2\x80\x9d.', b'# Payment of Reasonable Price for Green Leaf Tea Factories purchased by\n\nReference is requested to my Circular Letter No.iI/BL.60 of 6th February 1984, regarding the formula for calculating the reasonable price payable for green leaf.\n\nThe Government has decided to adopt the following measures:\n\n1. Each Licensed Dealer in green leaf shall be attached to one Bought Leaf factory for the purpose of supplying his collected leaf for manufacture. However, he could deliver leaf to more than one factory by explaining such necessity and obtaining prior approval from the Tea Commissioner.\n2. Every Licensed Dealer should submit once a fortnight to the factory allotted to him, the registered number of the tea lands, list of suppliers containing their names and addresses, and the quantity of leaf supplied by each of them.\n3. Every Licensed Dealer should obtain in duplicate, receipts for payment made by him to green leaf suppliers and submit the duplicates of such receipts to the concerned factory.']"
What are the recommended pruning and sanitation practices for tea bushes to prevent the growth of Horse-hair Blight?,"[b'# MANAGEMENT OF HORSE-HAIR BLIGHT IN TEA\n\n(This Advisory Circular cancels Guideline 1/03 issued in May 2003)', b'# 8. Horse-Hair Blight\n\n|Active ingredient (a.i.)|Trade names|ROP Registration No.|Dosage/ hectare|Remarks|PHI (weeks)|\n|---|---|---|---|---|---|\n|Hydrated Lime|Commercially available products|n/a|20% solution (2 Kg in 10 L water) 1000 L solution|Spray on to bush frames application with a knapsack sprayer after each pruning|n/a|\n\nTea Research Institute of Sri Lanka\n\nTalawakelle', b'# 6. Dry Weather Pruning\n\nPruning into dry weather is not recommended, because it may cause sun scorch on branches leading to wood rot and frame debilitation. Scorching also reduces the number of new shoots. Dry weather pruning as a measure of controlling blister blight is also not recommended.', b'# 9.1 Preparation of mother bushes and planting of cuttings\n\nIt is recommended to remove the terminal buds, about 2 to 3 weeks before taking shoots off the mother bushes and then followed by a foliar application of Zinc Sulphate and Urea at 2 to 3% each in order to break dormancy of axillary buds and stimulate growth. Please refer TRI Advisory Circular No. SP 4 for details on fertilizing mother bushes.', b'# AN ACT TO PROVIDE FOR THE REGISTRATION OF TEA PLANTATIONS AND THE PROPRIETORS THEREOF; FOR THE REGISTRATION OF TEA MANUFACTURERS AND OF THE FACTORIES OPERATED BY THEM; FOR THE CONTROL OF THE PLANTING AND REPLANTING OF TEA, THE POSSESSION, SALE AND PURCHASE OF TEA, AND THE EXPORTATION OF TEA, TEA SEED AND SUCH PARTS OF THE TEA PLANT AS ARE CAPABLE OF BEING USED FOR PROPAGATION; FOR THE IMPOSITION OF AN EXPORT DUTY ON TEA; FOR THE ESTABLISHMENT OF A TEA ADVISORY BOARD; AND FOR MATTERS CONNECTED THEREWITH.']"
"What are the benefits of adding organic matter to tea fields, and how can it improve soil fertility and plant nutrient availability?","[b'# 7.1 Organic materials\n\nOrganic materials with the following requirements should be selected depending on their accessibility and availability:\n\n|Organic material|Specifications and requirements|\n|---|---|\n|Refuse tea|Well decomposed under natural conditions|\n|Paddy husk|Fresh or partially decomposed; wastes obtained preferably from Japanese huller and free of bran and grain pieces|\n|Coir dust|Fresh or decomposed; not from coastal areas|', b'# 1. Introduction\n\nAll species of pathogenic nematodes of tea inhabit roots and soil. However, their number and activity will depend on soil factors such as soil temperature, moisture, depth, use of agro-chemicals and organic matter etc. and plant factors such as age, cultivar and pruning cycle. Tea fields or nurseries may show symptoms caused by nematodes such as slow decline in growth, yellowing of leaves, premature flowering and fruiting and stunted growth etc. due to other stress factors such as drought, water deficit, clayeyness, hard pan and water logging conditions, nutrient imbalances etc. Before taking samples for nematode estimation, such factors should be ruled out. In order to assure a realistic nematode estimation, the sampling procedure should be different in a nursery and a field. Necessary sampling should be done to represent different cultivars, ages, conditions and symptoms of nematodes and weaknesses in plants of nursery or field. Nematode diagnosis is also proposed as an internal quarantine measure in assuring use of nematode free and healthy planting materials restricting dissemination of parasitic nematode species through planting materials in the tea growing areas.', b'# 20. Terminal Benefits.\n\nThe Employer will pay terminal benefits to Employees in accordance with the Gratuity Act No. 12 of 1983.', b'# 15. Terminal Benefits.\n\nThe Employer will pay terminal benefits to Employees in accordance with the Gratuity Act No. 12 of 1983.', b'# 2.8\n\nAdhere to soil and moisture conservation and integrated fertility management strategies as per TRI guidelines to ensure minimize input losses.']"
